name,category,latitude,longitude,url
Jugendzeltplatz Noer,campsite,54.47083503993084,10.006550440964393,https://freizeit-am-meer.de/reiseziele/noer/zeltplatz
Jugendzeltplatz Sauloch,campsite house,50.27466353679195,11.070982493574238,https://pfadfinder-abenteuer.de/unterkuenfte/jugendzeltplatz-sauloch/
Jugendzeltplatz Steinbachtalsperre,campsite,50.59577094812421,6.8333255561849375,https://dpsg-koeln.de/ueber-uns/unsere-dioezesanebene/steinbachtalsperre
Jugendzeltplatz Widdau,campsite,50.563378895077,6.298646910493043,https://www.nikolaus-rursee.de/zeltplatz-widdau/
Kandersteg International Scout Centre,campsite house,46.483500179000096,7.663971998393439,https://www.kisc.ch
Kaprálův mlýn,campsite house,49.24249455873812,16.73309892742834,http://www.kapraluvmlyn.cz/?jaz=EN
Kinder- und Jugendzeltplatz WeltenZeltenKellerwald,campsite,51.192928966874575,8.91745982626537,https://www.camp-edersee.de/camp-edersee/kinder-und-jugendzeltplatz-weltenzeltenkellerwald-1#c793
Kopparbo,campsite,59.98035135261413,15.445733301970455,https://kopparbo.com/
La base scout di Piazzole,campsite house,45.63158183110335,10.152363639882026,https://www.piazzole.org
Landespfadfinderheim Neuburg,campsite house,47.32331434857224,9.623048776788607,https://www.pfadi-vorarlberg.at/neuburg/
Lille Okseø,house,54.85705186630224,9.503306886443971,https://kolonierne.dk/lille-okseoe/
Mangmühlenzeltplatz,campsite,47.65049629791219,10.737178567204916,https://www.dpsg-augsburg.de/haeuser-und-zeltplaetze-2/mangmuehlenzeltplatz/
Misaershaff - Centre de formation jeunes,campsite house,49.86646935824079,5.830117102804696,https://www.misaershaff.lu/
NABU-Naturschutzstation Dachsenberg,house,51.10730459442625,13.861600837137019,https://sachsen.nabu.de/wirueberuns/naturschutzstationen/26226.html
Naturherberge Affalter,campsite house,50.63477950968839,12.758428794810792,https://naturherberge.de
Naturherberge Kammbegegnungen,campsite house,50.59836158109311,13.298615810701042,https://kammbegegnungen.de/naturherberge/
Naesbycenteret,campsite,55.36298958690537,11.644164001820574,https://naesbycentret.dk/en/
Neihaischen,campsite house,49.622054128420594,6.245624009735872,https://www.scotel.lu
Nibelungenturm,house,49.63091712887425,8.377548206864782,https://nibelungenturm.de
Nocrich Scout Centre,campsite house,45.89611521615111,24.45383713322962,https://nocrich.scout.ro/?lang=en
Our Chalet - WAGGGS World Centre,campsite house,46.49144697333057,7.574768912485347,https://worldcentres.wagggs.org/our-chalet/
Pax Lodge - WAGGGS World Centre,house,51.55272239461669,-0.17054771825580903,https://worldcentres.wagggs.org/pax-lodge/
Pfadfinder Centrum Callenberg,campsite house,50.27984758592227,10.92447823861596,https://pfadfinder-abenteuer.de/unterkuenfte/pfadfinder-centrum-callenberg/
Pfadfinderhütte Odelboding,campsite house,48.16818931587717,13.620881936169754,https://www.pfadfinderhuette-odelboding.at/
Pfadfinder Kanucamp Tarnschlucht,campsite,44.340171178389355,3.5020869100005565,https://www.tarnschlucht.eu/
Pfadfinderlandheim Stiefvater,house,50.29010329535972,11.093813293942642,https://pfadfinder-abenteuer.de/unterkuenfte/pfadfinderlandheim-stiefvater/
Pfadfinderdorf Zellhof,campsite house,47.98491730680244,13.09247642729388,https://www.zellhof.at/
Pfadfinderhaus Lindersberg,campsite house,49.79902402604746,11.159650386887073,https://www.dpsg-bamberg.de/haeuser/pfadfinderhaus-lindersberg/
Pfadfinderhaus Senden,house,51.87198309492046,7.480860458916903,http://www.pfadfinderhaus-senden.de
Pfadfinderheim Alte Schule Mittelberg,house,50.33129791555731,11.031942023755272,https://pfadfinder-abenteuer.de/unterkuenfte/pfadfinderheim-alte-schule-mittelberg/
Pfadfinderheim DPSG Rachtig,campsite house,49.9672226008792,7.014137185019654,https://pfadfinder-rachtig.de
Pfadfinderheim Montafon,campsite house,47.0724359503869,9.878729069597174,https://www.pfadis-montafon.com/der-lagerplatz
Pfadfinderheim Welfenhof,campsite house,52.462899327476634,10.604632901001493,https://welfenhof-gifhorn.de/
Pfadfinderlager Brexbachtal,campsite,50.446982314944016,7.595302353162599,https://www.erlebnisraum-brex.de
Pfadfinderlagerplatz Birkenheide,campsite,53.0106384493887,8.538032185104536,https://www.gruppenunterkuenfte.de/Pfadfinderlagerplatz-Birkenheide__t11959.html
Pfadfinderplatz am Zethner See / Berg,campsite,53.210406034572834,12.7883272863544,https://www.campingamzethnersee.de/pfadfindercampingplatz/
Pfadfinderranch Grünes Tal,campsite house,50.83871691350048,10.55242537155291,http://www.pfadfinderranch-gruenestal.de
